country,t,outp,outpd%,outptt%
BLZ,2008,47.55348336,0.316270456,0.39680597
BMU,1990,28.83027795,0.407996703,0.451091225
BMU,1991,28.89626654,0.463269629,0.410462541
BMU,1992,29.18871953,0.483091021,0.392080592
BMU,1993,29.31071793,0.601627793,0.303901304
BMU,1994,30.45061888,0.635358533,0.277235896
BMU,1995,31.98958144,0.66974072,0.247135246
BMU,1996,34.2376469,0.669302687,0.249274329
BMU,1997,38.56857334,0.70897673,0.2188053
BMU,1998,47.21787033,0.770615249,0.173358068
BMU,1999,50.23702053,0.772945175,0.171960089
BMU,2000,60.13702881,0.789674483,0.15873814
BMU,2001,53.06334272,0.767948504,0.174729624
BMU,2002,59.19198637,0.774107386,0.17008899
BMU,2003,54.06141968,0.737311159,0.194276656
BMU,2004,56.95926359,0.705416104,0.218826157
BMU,2005,63.06963929,0.709918837,0.215754866
BMU,2006,65.98373524,0.671081496,0.241175612
BMU,2007,68.22769126,0.642981258,0.260812198
BMU,2008,68.84633843,0.611963255,0.28181758
BOL,1990,231.8541596,0.584214654,0.323472544
BOL,1991,251.5981509,0.603233952,0.305565863
BOL,1992,270.7033378,0.583448559,0.316481007
BOL,1993,277.081885,0.568652751,0.325411547
BOL,1994,295.7323984,0.530319757,0.351139849
BOL,1995,334.027405,0.508281495,0.362234691
BOL,1996,367.8224944,0.504648331,0.365365552
BOL,1997,394.7618733,0.512065425,0.362414835
BOL,1998,423.4170165,0.535206523,0.349096883
BOL,1999,413.13634,0.551077931,0.338619926
BOL,2000,424.4505059,0.525917159,0.351453072
BOL,2001,415.4919576,0.519726074,0.359817824
BOL,2002,406.6858675,0.501573034,0.369138179
BOL,2003,417.6422443,0.460306354,0.39504639
BOL,2004,470.4535442,0.399226615,0.433865822
BOL,2005,527.2549748,0.364627402,0.45310573
BOL,2006,641.8453993,0.328419117,0.472877367
BOL,2007,730.0464367,0.322702,0.470474423
BOL,2008,899.4571338,0.33137221,0.455850515
BRA,1990,21302.17391,0.78891292,0.160948669
BRA,1991,17586.14609,0.757675401,0.182643332
BRA,1992,15821.75112,0.699518002,0.224517316
BRA,1993,15890.08817,0.695171694,0.228986563
BRA,1994,20519.57316,0.713583657,0.214296574
BRA,1995,28968.93543,0.750150248,0.185254123
BRA,1996,31155.04776,0.758780958,0.179249264
BRA,1997,32064.84064,0.751504301,0.184361998
BRA,1998,33560.30646,0.76273702,0.177803001
BRA,1999,24591.76624,0.699841745,0.221420704
BRA,2000,31260.21732,0.718511913,0.207183587
BRA,2001,25202.69054,0.667227237,0.240750452
BRA,2002,23202.36904,0.645422946,0.253520442
BRA,2003,25007.36689,0.618417715,0.270100354
BRA,2004,30069.16973,0.593049315,0.284852345
BRA,2005,39298.52979,0.624628239,0.264725737
BRA,2006,46057.02257,0.618395255,0.264379381
BRA,2007,56125.82357,0.628442426,0.254611156
BRA,2008,65778.92993,0.620904705,0.255561508
BRB,1990,75.05907866,0.656205388,0.268222725
BRB,1991,76.47775058,0.619572299,0.289817167
BRB,1992,74.14232398,0.586225022,0.309426272
BRB,1993,83.06741008,0.523359753,0.356267859
BRB,1994,86.79855692,0.516460131,0.356964996
BRB,1995,93.09587814,0.493840137,0.36522415
BRB,1996,99.27544367,0.480780547,0.372714046
BRB,1997,104.6701414,0.478893717,0.372245137
BRB,1998,116.1093246,0.5077823,0.35785368
BRB,1999,119.4846501,0.51581252,0.351339565
BRB,2000,132.4007832,0.431968605,0.407937135
BRB,2001,124.763654,0.505449632,0.357739336
BRB,2002,126.4124557,0.501324646,0.360432982
BRB,2003,127.5978887,0.542888992,0.32605715
BRB,2004,139.7579608,0.556897518,0.313504462
